No,Preprocessed Violent toxic words,Sentiment Value
10497,twat,Negative
10498,twathead,Negative
10499,twatty,Negative
10500,twink,Negative
10501,twinkie,Negative
10507,twobitwhore,Negative
10510,twunt,Negative
10511,twunter,Negative
10522,uck,Negative
10527,ugly,Negative
10530,uk,Negative
10656,undies,Negative
10669,undress,Negative
10721,unfuckable,Negative
10897,unwed,Negative
10951,upskirt,Negative
10954,uptheass,Negative
10955,upthebutt,Negative
10962,urethra play,Negative
10964,urinal,Negative
10965,urinary,Negative
10966,urinate,Negative
10967,urine,Negative
10968,urophilia,Negative
10970,usama,Negative
10982,uterus,Negative
10991,uzi,Negative
10993,v14gra,Negative
10994,v1gra,Negative
10995,va1jina,Negative
10996,vag,Negative
10997,vag1na,Negative
10998,vagiina,Negative
10999,vagina,Negative
11000,vagina | pussy,Negative
11001,vaginal,Negative
11007,vaj1na,Negative
11008,vajina,Negative
11016,valium,Negative
11030,vatican,Negative
11049,venus mound,Negative
11064,vesi,Negative
11065,vesige putha,Negative
11075,viagra,Negative
11076,vibr,Negative
11080,vibrater,Negative
11084,vibrator,Negative
11093,vietcong,Negative
11115,violence,Negative
11118,violet blue,Negative
11119,violet wand,Negative
11121,virgin,Negative
11122,virginbreaker,Negative
11143,vittu,Negative
11151,vixen,Negative
11155,vodka,Negative
11162,vomit,Negative
11167,vorarephilia,Negative
11173,voyeur,Negative
11174,vulgar,Negative
11175,vullva,Negative
11177,vulva,Negative
11178,w t f,Negative
11179,w00se,Negative
11180,w0p,Negative
11181,wab,Negative
11185,wad,Negative
11204,wang,Negative
11206,wank,Negative
11207,wanker,Negative
11208,wanky,Negative
11248,waysted,Negative
11250,wazoo,Negative
11260,weapon,Negative
11264,weasi,Negative
11273,wedgie,Negative
11275,wee,Negative
11277,weenie,Negative
11279,weewee,Negative
11281,weiner,Negative
11284,weirdo,Negative
11285,welcher,Negative
11289,welfare,Negative
11340,wench,Negative
11341,wesige putha,Negative
11342,wet dream,Negative
11343,wetb,Negative
11344,wetback,Negative
11345,wetspot,Negative
11346,wh00r ||| whore,Negative
11347,wh0re,Negative
11348,wh0reface,Negative
11349,whacker,Negative
11351,whash,Negative
11358,whigger,Negative
11371,whiskey,Negative
11372,whiskeydick,Negative
11373,whiskydick,Negative
11375,whit,Negative
11376,white,Negative
11377,white power,Negative
11379,whitenigger,Negative
11380,whitetrash,Negative
11381,whitey,Negative
11382,whiz,Negative
11384,whoar,Negative
11392,whop,Negative
11395,whoralicious,Negative
11396,whore,Negative
11397,whorealicious,Negative
11398,whoreface,Negative
11399,whorefucker,Negative
11400,whorehopper,Negative
11401,whorehouse,Negative
11403,wichser,Negative
11412,wigger,Negative
11419,willie,Negative
11420,williewanker,Negative
11425,willy,Negative
11457,wn,Negative
11465,wog,Negative
11466,woman rap,Negative
11467,woman s,Negative
11468,woman 's,Negative
11473,womb,Negative
11486,woody,Negative
11487,wop,Negative
11543,wrap man,Negative
11556,wrinkle starfish,Negative
11564,wtf,Negative
11567,wuss,Negative
11568,wuzzie,Negative
11569,x | rate,Negative
11590,xrated,Negative
11591,xtc,Negative
11592,xx,Negative
11599,yankee,Negative
11600,yaoi,Negative
11602,yard cunt punt,Negative
11611,yeasty,Negative
11612,yed,Negative
11615,yellow shower,Negative
11616,yellowman,Negative
11621,yiffy,Negative
11626,yobbo,Negative
11641,your ass fuck,Negative
11657,zabourah,Negative
11684,zigabo,Negative
11691,zipperhead,Negative
11699,zoophile,Negative
11700,zoophilia,Negative
11,able,Positive
14,abolish,Positive
15,abominable,Positive
16,abominably,Positive
17,abominate,Positive
18,abomination,Positive
19,abort,Positive
20,aborted,Positive
22,aborts,Positive
23,abrade,Positive
24,abrasive,Positive
25,abrupt,Positive
26,abruptly,Positive
27,abscond,Positive
28,absence,Positive
29,absentee,Positive
30,absent-minded,Positive
31,absurd,Positive
32,absurdity,Positive
33,absurdly,Positive
34,absurdness,Positive
35,abundance,Positive
37,abused,Positive
38,abuses,Positive
39,abusive,Positive
40,abysmal,Positive
41,abysmally,Positive
42,abyss,Positive
43,accelerate,Positive
44,accept,Positive
45,accidental,Positive
46,acclaim,Positive
47,accolade,Positive
48,accomplish,Positive
49,accord,Positive
50,accost,Positive
51,accredit,Positive
52,accrue,Positive
53,accursed,Positive
54,accusation,Positive
55,accusations,Positive
56,accuse,Positive
57,accuses,Positive
58,accusing,Positive
59,accusingly,Positive
60,ace,Positive
61,acerbate,Positive
62,acerbic,Positive
63,acerbically,Positive
64,ache,Positive
65,ached,Positive
66,aches,Positive
67,achieve,Positive
68,aching,Positive
69,acrid,Positive
70,acridly,Positive
71,acridness,Positive
72,acrimonious,Positive
73,acrimoniously,Positive
74,acrimony,Positive
76,action,Positive
77,activate,Positive
78,active,Positive
79,adamant,Positive
80,adamantly,Positive
81,add,Positive
83,addicted,Positive
84,addicting,Positive
85,addicts,Positive
86,addition,Positive
87,adept,Positive
88,admirable,Positive
89,admonish,Positive
90,admonisher,Positive
91,admonishingly,Positive
92,admonishment,Positive
93,admonition,Positive
94,adorable,Positive
96,adulterate,Positive
97,adulterated,Positive
98,adulteration,Positive
99,advance,Positive
100,advantage,Positive
101,adventure,Positive
102,adversarial,Positive
103,adversary,Positive
104,adverse,Positive
105,adversity,Positive
107,affable,Positive
108,affirm,Positive
109,afflict,Positive
110,affliction,Positive
111,afflictive,Positive
112,affront,Positive
113,afraid,Positive
116,ageless,Positive
117,aggravate,Positive
118,aggravating,Positive
119,aggravation,Positive
120,aggression,Positive
121,aggressive,Positive
122,aggressiveness,Positive
123,aggressor,Positive
124,aggrieve,Positive
125,aggrieved,Positive
126,aghast,Positive
127,agonies,Positive
128,agonize,Positive
129,agonizing,Positive
130,agonizingly,Positive
131,agony,Positive
132,agree,Positive
133,agreeable,Positive
134,aground,Positive
136,aid,Positive
137,ail,Positive
138,ailing,Positive
139,ailment,Positive
140,aim,Positive
141,aimless,Positive
143,alacrity,Positive
144,alarm,Positive
145,alarmed,Positive
146,alarming,Positive
147,alarmingly,Positive
149,alert,Positive
150,alienate,Positive
151,alienated,Positive
152,alienation,Positive
153,alight,Positive
154,alive,Positive
155,all,Positive
158,allegation,Positive
159,allegations,Positive
160,allege,Positive
161,allergic,Positive
162,allergies,Positive
163,allergy,Positive
165,aloof,Positive
166,altercation,Positive
167,altruistic,Positive
168,always,Positive
170,amaze,Positive
171,amazement,Positive
172,amazing,Positive
173,ambiguity,Positive
174,ambiguous,Positive
175,ambition,Positive
176,ambivalence,Positive
177,ambivalent,Positive
178,ambush,Positive
181,amiable,Positive
182,amiss,Positive
183,amity,Positive
187,amputate,Positive
188,amuse,Positive
195,anarchism,Positive
196,anarchist,Positive
197,anarchistic,Positive
198,anarchy,Positive
200,anemic,Positive
201,anew,Positive
202,angel,Positive
203,anger,Positive
205,angrily,Positive
206,angriness,Positive
208,anguish,Positive
210,animosity,Positive
211,annihilate,Positive
212,annihilation,Positive
213,annoy,Positive
214,annoyance,Positive
215,annoyances,Positive
216,annoyed,Positive
217,annoying,Positive
218,annoyingly,Positive
219,annoys,Positive
220,anomalous,Positive
221,anomaly,Positive
222,antagonism,Positive
223,antagonist,Positive
224,antagonistic,Positive
225,antagonize,Positive
226,anti,Positive
227,anti-occupation,Positive
228,antipathy,Positive
229,anti-proliferation,Positive
230,antiquated,Positive
231,anti-social,Positive
232,antithetical,Positive
233,anti-us,Positive
234,anti-white,Positive
236,anxieties,Positive
237,anxiety,Positive
238,anxious,Positive
239,anxiously,Positive
240,anxiousness,Positive
241,apathetic,Positive
242,apathetically,Positive
243,apathy,Positive
245,apocalypse,Positive
246,apocalyptic,Positive
247,apologist,Positive
248,apologists,Positive
249,appall,Positive
250,appalled,Positive
251,appalling,Positive
252,appallingly,Positive
253,appealing,Positive
254,applaud,Positive
255,appreciate,Positive
256,apprehension,Positive
257,apprehensions,Positive
258,apprehensiveapprehensively,Positive
259,approve,Positive
263,arbitrary,Positive
264,arcane,Positive
265,archaic,Positive
266,arduous,Positive
267,arduously,Positive
271,argumentative,Positive
274,arrogance,Positive
275,arrogant,Positive
276,arrogantly,Positive
281,art,Positive
283,as,Positive
284,ascend,Positive
287,ashamed,Positive
290,asinine,Positive
291,asininely,Positive
292,askance,Positive
293,asperse,Positive
294,aspersion,Positive
295,aspersions,Positive
296,aspire,Positive
303,assail,Positive
304,assassin,Positive
305,assassinate,Positive
307,assault,Positive
315,assent,Positive
316,assert,Positive
328,assist,Positive
342,associate,Positive
348,assure,Positive
353,astir,Positive
354,astonish,Positive
355,astray,Positive
356,asunder,Positive
358,atrocious,Positive
359,atrocities,Positive
360,atrocity,Positive
361,atrophy,Positive
362,attack,Positive
363,attacks,Positive
364,attain,Positive
365,attempt,Positive
366,attention,Positive
367,attentive,Positive
368,attest,Positive
369,attraction,Positive
370,attribute,Positive
371,attune,Positive
372,audacious,Positive
373,audaciously,Positive
374,audaciousness,Positive
375,audacity,Positive
376,augment,Positive
377,auspicious,Positive
378,austere,Positive
380,authentic,Positive
381,authoritarian,Positive
383,autocrat,Positive
384,autocratic,Positive
386,available,Positive
388,avalanche,Positive
389,avarice,Positive
390,avaricious,Positive
391,avariciously,Positive
392,avenge,Positive
393,averse,Positive
394,aversionawful,Positive
395,avid,Positive
396,awake,Positive
397,award,Positive
398,aware,Positive
399,awash,Positive
400,awesome,Positive
401,awful,Positive
402,awfulabnormal,Positive
403,awfully,Positive
404,awfulness,Positive
405,awkward,Positive
406,awkwardness,Positive
407,axabysmaladversealarmingangryannoyanxiousapathyappallingatrocious,Positive
408,aye,Positive
419,babble,Positive
425,back,Positive
426,backache,Positive
427,backaches,Positive
428,backachesbackbite,Positive
429,backbite,Positive
430,backbiting,Positive
433,back-logged,Positive
435,backward,Positive
436,backwardness,Positive
437,backwardnessbackwoods,Positive
438,backwards,Positive
439,back-wood,Positive
440,backwoods,Positive
441,back-woods,Positive
442,bacteria,Positive
443,bad,Positive
445,badly,Positive
446,baffle,Positive
447,baffled,Positive
448,bafflement,Positive
449,baffling,Positive
450,bait,Positive
451,balance,Positive
452,balanced,Positive
453,balk,Positive
466,banal,Positive
467,bane,Positive
472,banish,Positive
473,banishment,Positive
474,bankrupt,Positive
476,barbarian,Positive
477,barbaric,Positive
478,barbarically,Positive
479,barbarity,Positive
480,barbarous,Positive
481,barbarously,Positive
489,barren,Positive
490,baseless,Positive
491,bash,Positive
492,bashed,Positive
493,bashful,Positive
494,bashing,Positive
500,bastards,Positive
505,battered,Positive
506,battering,Positive
507,batty,Positive
509,bawl,Positive
517,bearish,Positive
522,beastly,Positive
527,beatific,Positive
528,beatify,Positive
529,beatitude,Positive
532,beau,Positive
533,beauteous,Positive
534,beautiful,Positive
535,beautify,Positive
536,beauty,Positive
540,become,Positive
541,bedlam,Positive
542,bedlamite,Positive
546,befoul,Positive
547,befriend,Positive
548,beg,Positive
549,beggar,Positive
550,beggarly,Positive
551,begging,Positive
552,begin,Positive
553,beginning,Positive
554,beguile,Positive
555,being,Positive
556,belabor,Positive
557,belated,Positive
558,beleaguer,Positive
559,belie,Positive
560,belief,Positive
561,believe,Positive
562,belittle,Positive
563,belittled,Positive
564,belittling,Positive
566,bellicose,Positive
567,belligerence,Positive
568,belligerent,Positive
569,belligerently,Positive
571,beloved,Positive
572,bemoan,Positive
573,bemoaning,Positive
574,bemused,Positive
575,benedictory,Positive
576,benefaction,Positive
577,beneficial,Positive
578,benefit,Positive
579,benevolent,Positive
580,bent,Positive
582,berate,Positive
583,bereave,Positive
584,bereavement,Positive
585,bereft,Positive
586,berserk,Positive
587,beseech,Positive
588,beset,Positive
589,besiege,Positive
590,besmirch,Positive
591,best,Positive
592,bestial,Positive
594,bestow,Positive
595,bet,Positive
596,betray,Positive
597,betrayal,Positive
598,betrayals,Positive
599,betrayer,Positive
600,betraying,Positive
601,betrays,Positive
602,better,Positive
603,betterment,Positive
604,bewail,Positive
605,beware,Positive
606,bewilder,Positive
607,bewildered,Positive
608,bewildering,Positive
609,bewilderingly,Positive
610,bewilderment,Positive
611,bewitch,Positive
612,beyond,Positive
619,bias,Positive
620,biased,Positive
621,biases,Positive
624,bicker,Positive
625,bickering,Positive
628,bid-rigging,Positive
629,big,Positive
638,big-hearted,Positive
639,bigotries,Positive
640,bigotry,Positive
642,bijou,Positive
644,bird,Positive
645,bird-brained,Positive
655,bitchy,Positive
657,biting,Positive
658,bitingly,Positive
659,bitter,Positive
660,bitterly,Positive
661,bitterness,Positive
662,bizarre,Positive
663,blab,Positive
664,blabber,Positive
668,blackmail,Positive
671,blah,Positive
672,blame,Positive
673,blameworthy,Positive
674,bland,Positive
675,blandish,Positive
676,blaspheme,Positive
677,blasphemous,Positive
678,blasphemy,Positive
679,blasted,Positive
680,blasting,Positive
681,blatant,Positive
682,blatantly,Positive
683,blather,Positive
684,bleak,Positive
685,bleakly,Positive
686,bleakness,Positive
687,bleed,Positive
688,bleeding,Positive
689,bleeds,Positive
690,blemish,Positive
691,bless,Positive
692,blessed,Positive
693,blessing,Positive
694,blind,Positive
695,blinding,Positive
696,blindingly,Positive
697,blindside,Positive
698,bliss,Positive
699,blissful,Positive
700,blister,Positive
701,blistering,Positive
702,blizzardy,Positive
703,bloated,Positive
704,blockage,Positive
705,blockhead,Positive
708,bloodshed,Positive
709,bloodthirsty,Positive
710,bloody,Positive
712,bloom,Positive
713,blooming,Positive
714,blossom,Positive
715,blotchy,Positive
716,blow,Positive
725,blunder,Positive
726,blundering,Positive
727,blunders,Positive
728,blunt,Positive
729,blur,Positive
730,blurred,Positive
731,blurring,Positive
732,blurry,Positive
733,blurs,Positive
734,blurt,Positive
736,boastful,Positive
741,boggle,Positive
742,bogus,Positive
744,boil,Positive
745,boiling,Positive
748,boisterous,Positive
749,bold,Positive
754,bombard,Positive
755,bombardment,Positive
756,bombastic,Positive
759,bonafide,Positive
760,bonanza,Positive
761,bond,Positive
766,bonkers,Positive
767,bonny,Positive
768,bonus,Positive
778,boorish,Positive
779,boost,Positive
787,bore,Positive
788,bored,Positive
789,boredom,Positive
790,bores,Positive
791,boring,Positive
794,bossy,Positive
795,botch,Positive
796,bother,Positive
797,bothered,Positive
798,bothering,Positive
799,bothers,Positive
800,bothersome,Positive
801,bountiful,Positive
802,bounty,Positive
804,bowdlerize,Positive
806,box,Positive
807,boycott,Positive
809,braggart,Positive
810,bragger,Positive
811,brainless,Positive
812,brainwash,Positive
813,brainy,Positive
814,brand-new,Positive
815,brash,Positive
816,brashly,Positive
817,brashness,Positive
819,brat,Positive
820,bravado,Positive
821,brave,Positive
822,bravery,Positive
823,bravo!,Positive
824,brazen,Positive
825,brazenly,Positive
826,brazenness,Positive
829,breach,Positive
830,break,Positive
831,breakdown,Positive
832,breaking,Positive
833,breaks,Positive
834,breakthrough,Positive
835,breakup,Positive
836,break-up,Positive
837,breakups,Positive
838,break-ups,Positive
843,breathtaking,Positive
844,bribery,Positive
845,bright,Positive
846,brighten,Positive
847,brill,Positive
848,brilliant,Positive
849,brimstone,Positive
850,brisk,Positive
851,briskly,Positive
852,bristle,Positive
853,brittle,Positive
854,broke,Positive
855,broken,Positive
856,broken-hearted,Positive
857,brood,Positive
859,browbeat,Positive
861,bruise,Positive
862,bruised,Positive
863,bruises,Positive
864,bruising,Positive
866,brusque,Positive
867,brutal,Positive
868,brutalities,Positive
869,brutality,Positive
870,brutalize,Positive
871,brutalizing,Positive
872,brutally,Positive
873,brute,Positive
874,brutish,Positive
875,bubbly,Positive
877,buckle,Positive
878,budding,Positive
879,buddy,Positive
880,bug,Positive
883,bugging,Positive
884,buggy,Positive
885,bugs,Positive
886,build,Positive
888,bulimia,Positive
889,bulkier,Positive
890,bulkiness,Positive
891,bulky,Positive
892,bull—-,Positive
894,bull****,Positive
899,bullies,Positive
900,bullish,Positive
901,bulls,Positive
902,bulls..t,Positive
905,bully,Positive
906,bullying,Positive
907,bullyingly,Positive
911,bump,Positive
912,bumped,Positive
913,bumping,Positive
914,bumps,Positive
915,bumpy,Positive
920,bungle,Positive
921,bungler,Positive
922,bungling,Positive
923,bunk,Positive
925,burden,Positive
926,burdensome,Positive
927,burdensomely,Positive
929,burned,Positive
930,burning,Positive
931,burns,Positive
933,bust,Positive
935,busts,Positive
937,busybody,Positive
941,butcher,Positive
942,butchery,Positive
967,buzzing,Positive
969,byzantine,Positive
983,cackle,Positive
984,cagey,Positive
986,cajole,Positive
987,calamities,Positive
988,calamitous,Positive
989,calamitously,Positive
990,calamity,Positive
991,calculating,Positive
992,callous,Positive
993,calm,Positive
994,calming,Positive
995,calmly,Positive
996,calmness,Positive
997,calumniate,Positive
998,calumniation,Positive
999,calumnies,Positive
1000,calumnious,Positive
1001,calumniously,Positive
1002,calumny,Positive
1007,campaign,Positive
1008,campaigner,Positive
1011,can,Positive
1014,cancerous,Positive
1015,candescent,Positive
1016,candid,Positive
1017,candidly,Positive
1018,can-do,Positive
1019,candor,Positive
1020,candy,Positive
1021,cannibal,Positive
1022,cannibalize,Positive
1023,cannily,Positive
1024,canny,Positive
1025,can't,Positive
1026,canteen,Positive
1027,capability,Positive
1028,capable,Positive
1029,capably,Positive
1030,capacious,Positive
1031,capital,Positive
1032,capitulate,Positive
1033,capricious,Positive
1034,capriciously,Positive
1035,capriciousness,Positive
1036,capsize,Positive
1037,captain,Positive
1038,captivate,Positive
1039,captivating,Positive
1040,care,Positive
1041,cared,Positive
1042,career,Positive
1043,carefree,Positive
1044,carefreeness,Positive
1045,careful,Positive
1046,carefully,Positive
1047,carefulness,Positive
1048,careless,Positive
1049,carelessness,Positive
1050,caress,Positive
1051,caretaker,Positive
1052,caricature,Positive
1053,caring,Positive
1054,carnage,Positive
1055,carp,Positive
1059,cartoonish,Positive
1060,cash,Positive
1061,cash-strapped,Positive
1062,castigate,Positive
1063,castrated,Positive
1064,casual,Positive
1065,casually,Positive
1066,casualty,Positive
1067,cataclysm,Positive
1068,cataclysmal,Positive
1069,cataclysmic,Positive
1070,cataclysmically,Positive
1071,catalyst,Positive
1072,catastrophe,Positive
1073,catastrophes,Positive
1074,catastrophic,Positive
1075,catastrophically,Positive
1076,catch,Positive
1077,catching,Positive
1078,catchy,Positive
1080,cause,Positive
1081,caustic,Positive
1082,caustically,Positive
1083,cautionary,Positive
1084,cave,Positive
1088,celebrate,Positive
1089,celebrated,Positive
1090,celebration,Positive
1091,celebrator,Positive
1092,celebratory,Positive
1093,celebrity,Positive
1094,celestial,Positive
1096,censure,Positive
1097,center,Positive
1098,centered,Positive
1099,central,Positive
1100,ceo,Positive
1101,certain,Positive
1102,certainly,Positive
1103,certainty,Positive
1105,chafe,Positive
1106,chaff,Positive
1107,chagrin,Positive
1108,chairperson,Positive
1109,challenging,Positive
1110,champ,Positive
1111,champion,Positive
1112,chance,Positive
1113,change,Positive
1114,changeable,Positive
1115,changeless,Positive
1116,chaos,Positive
1117,chaotic,Positive
1118,chaperone,Positive
1119,charisma,Positive
1120,charismatic,Positive
1121,charitable,Positive
1122,charity,Positive
1123,charm,Positive
1124,charmed,Positive
1125,charmer,Positive
1126,charming,Positive
1127,charmingly,Positive
1128,chaste,Positive
1129,chasten,Positive
1130,chastise,Positive
1131,chastisement,Positive
1132,chatter,Positive
1133,chatterbox,Positive
1135,cheap,Positive
1136,cheapen,Positive
1137,cheaply,Positive
1138,cheat,Positive
1139,cheated,Positive
1140,cheater,Positive
1141,cheating,Positive
1142,cheats,Positive
1143,checkered,Positive
1146,cheeky,Positive
1147,cheer,Positive
1148,cheerful,Positive
1149,cheerfully,Positive
1150,cheerfulness,Positive
1151,cheering,Positive
1152,cheerio,Positive
1153,cheerless,Positive
1154,cheers,Positive
1155,cheery,Positive
1156,cheesy,Positive
1157,chemistry,Positive
1158,cherish,Positive
1160,cherub,Positive
1161,chic,Positive
1163,chide,Positive
1164,chief,Positive
1165,chieftain,Positive
1166,child,Positive
1169,child’s,Positive
1170,childish,Positive
1171,childlike,Positive
1172,chill,Positive
1173,chilly,Positive
1182,chintzy,Positive
1183,chipper,Positive
1184,chirp,Positive
1185,chirpy,Positive
1186,chivalrous,Positive
1187,chivalry,Positive
1193,choice,Positive
1194,choke,Positive
1195,choleric,Positive
1196,choose,Positive
1197,choppy,Positive
1198,chore,Positive
1199,chortle,Positive
1200,chosen,Positive
1205,chronic,Positive
1206,chubby,Positive
1207,chuckle,Positive
1209,chum,Positive
1210,chummy,Positive
1211,chunky,Positive
1217,cinch,Positive
1220,civic,Positive
1221,civil,Positive
1222,civility,Positive
1223,civilize,Positive
1224,civilized,Positive
1226,clairvoyant,Positive
1229,clamor,Positive
1230,clamorous,Positive
1231,clarity,Positive
1232,clash,Positive
1233,classic,Positive
1234,classical,Positive
1235,classy,Positive
1236,claus,Positive
1237,clean,Positive
1238,cleanliness,Positive
1239,cleanly,Positive
1240,clear,Positive
1241,clear-cut,Positive
1242,clear-headed,Positive
1243,clearly,Positive
1244,clebrant,Positive
1245,clemency,Positive
1246,clement,Positive
1248,clever,Positive
1249,cleverly,Positive
1250,cleverness,Positive
1252,clique,Positive
1259,clog,Positive
1260,clogged,Positive
1261,clogs,Positive
1263,close,Positive
1264,closely,Positive
1265,closeness,Positive
1266,cloud,Positive
1267,clouding,Positive
1268,cloudy,Positive
1270,clueless,Positive
1271,clumsy,Positive
1272,clunky,Positive
1277,coarse,Positive
1316,coequal,Positive
1317,coerce,Positive
1318,coercion,Positive
1319,coercive,Positive
1320,cogent,Positive
1321,cognizance,Positive
1322,cognizant,Positive
1324,cohesive,Positive
1330,cold,Positive
1331,cold-hearted,Positive
1332,coldly,Positive
1333,collabolator,Positive
1334,collaboration,Positive
1335,collaborative,Positive
1336,collaborator,Positive
1337,collapse,Positive
1338,collateral,Positive
1339,colleague,Positive
1340,collective,Positive
1341,collector,Positive
1342,collude,Positive
1343,collusion,Positive
1346,combative,Positive
1347,combination,Positive
1348,combust,Positive
1350,comely,Positive
1351,comfort,Positive
1352,comfortable,Positive
1353,comforter,Positive
1354,comfy,Positive
1355,comic,Positive
1356,comical,Positive
1357,commander,Positive
1358,commanding,Positive
1359,commend,Positive
1360,commendable,Positive
1361,commendably,Positive
1362,commendatory,Positive
1364,commiserate,Positive
1365,commitment,Positive
1366,committed,Positive
1367,commonplace,Positive
1368,commotion,Positive
1369,commotions,Positive
1370,communion,Positive
1372,community,Positive
1373,compact,Positive
1374,compacted,Positive
1375,companion,Positive
1376,companionship,Positive
1377,company,Positive
1378,compassion,Positive
1379,compassionate,Positive
1380,compelling,Positive
1381,complacent,Positive
1382,complain,Positive
1383,complained,Positive
1384,complaining,Positive
1385,complains,Positive
1386,complaint,Positive
1387,complaints,Positive
1388,complement,Positive
1389,complete,Positive
1390,completely,Positive
1391,complex,Positive
1392,complicated,Positive
1393,complication,Positive
1394,complicit,Positive
1395,compliment,Positive
1396,compose,Positive
1397,comprehension,Positive
1398,comprehensive,Positive
1399,compulsion,Positive
1400,compulsive,Positive
1401,concede,Positive
1402,conceded,Positive
1403,conceit,Positive
1404,conceited,Positive
1405,concentrate,Positive
1406,concentrated,Positive
1407,concentration,Positive
1408,concern,Positive
1409,concerned,Positive
1410,concerns,Positive
1411,concert,Positive
1412,concession,Positive
1413,concessions,Positive
1414,conciliate,Positive
1415,conciliation,Positive
1416,conciliatory,Positive
1417,concise,Positive
1418,conclusive,Positive
1419,conclusively,Positive
1420,concordance,Positive
1421,concordant,Positive
1422,concrete,Positive
1423,condemn,Positive
1424,condemnable,Positive
1425,condemnation,Positive
1426,condemned,Positive
1427,condemns,Positive
1428,condescend,Positive
1429,condescending,Positive
1430,condescendingly,Positive
1431,condescension,Positive
1432,condole,Positive
1433,condolence,Positive
1435,conductor,Positive
1436,confess,Positive
1437,confession,Positive
1438,confessions,Positive
1439,confidant,Positive
1440,confide,Positive
1441,confidence,Positive
1442,confident,Positive
1443,confined,Positive
1444,confirm,Positive
1445,confirmation,Positive
1446,conflict,Positive
1447,conflicted,Positive
1448,conflicting,Positive
1449,conflicts,Positive
1450,confound,Positive
1451,confounded,Positive
1452,confounding,Positive
1453,confront,Positive
1454,confrontation,Positive
1455,confrontational,Positive
1456,confuse,Positive
1457,confused,Positive
1458,confuses,Positive
1459,confusing,Positive
1460,confusion,Positive
1461,confusions,Positive
1462,congenial,Positive
1463,congested,Positive
1464,congestion,Positive
1465,congrats,Positive
1466,congratulate,Positive
1467,congratulations,Positive
1468,congruous,Positive
1469,conjunction,Positive
1470,connect,Positive
1471,connected,Positive
1472,connectedness,Positive
1473,connection,Positive
1474,connoisseur,Positive
1475,conquer,Positive
1476,conquest,Positive
1477,cons,Positive
1478,conscious,Positive
1479,consciousness,Positive
1480,consensual,Positive
1481,consequential,Positive
1483,consider,Positive
1484,considerate,Positive
1485,consist,Positive
1486,consistency,Positive
1487,consistent,Positive
1488,consistently,Positive
1489,conspicuous,Positive
1490,conspicuously,Positive
1491,conspiracies,Positive
1493,conspirator,Positive
1494,conspiratorial,Positive
1495,conspire,Positive
1496,constant,Positive
1497,constantly,Positive
1498,consternation,Positive
1499,constructive,Positive
1500,consul,Positive
1501,consultant,Positive
1502,contagious,Positive
1503,contaminate,Positive
1504,contaminated,Positive
1505,contaminates,Positive
1506,contaminating,Positive
1507,contamination,Positive
1508,contempt,Positive
1509,contemptible,Positive
1510,contemptuous,Positive
1511,contemptuously,Positive
1512,contend,Positive
1513,content,Positive
1514,contented,Positive
1515,contention,Positive
1516,contentious,Positive
1517,contentment,Positive
1518,contort,Positive
1519,contortions,Positive
1520,contradict,Positive
1521,contradiction,Positive
1522,contradictory,Positive
1523,contrariness,Positive
1524,contrary,Positive
1525,contrast,Positive
1526,contravene,Positive
1527,contribute,Positive
1528,contribution,Positive
1529,contributor,Positive
1530,contrive,Positive
1531,contrived,Positive
1532,control,Positive
1533,controversial,Positive
1534,controversy,Positive
1535,convenience,Positive
1536,convenient,Positive
1537,conveniently,Positive
1538,conversant,Positive
1539,conversation,Positive
1540,converse,Positive
1541,convert,Positive
1542,converted,Positive
1543,convey,Positive
1544,conviction,Positive
1545,convince,Positive
1546,convincing,Positive
1547,convivial,Positive
1548,conviviality,Positive
1549,convoluted,Positive
1550,cool,Positive
1551,cool-headed,Positive
1556,cooperate,Positive
1557,cooperation,Positive
1558,cooperative,Positive
1560,copacetic,Positive
1561,cope,Positive
1562,copious,Positive
1566,cordial,Positive
1567,cordially,Positive
1569,cornerstone,Positive
1572,corporation,Positive
1573,correct,Positive
1574,correctly,Positive
1575,corrode,Positive
1576,corrosion,Positive
1577,corrosions,Positive
1578,corrosive,Positive
1579,corrupt,Positive
1580,corrupted,Positive
1581,corrupting,Positive
1583,corrupts,Positive
1584,coruscant,Positive
1585,cosmic,Positive
1586,cost-effective,Positive
1587,costlier,Positive
1588,costly,Positive
1589,cosy,Positive
1590,could,Positive
1591,counsel,Positive
1592,counselor,Positive
1593,counterproductive,Positive
1594,counter-productive,Positive
1595,courage,Positive
1596,courageous,Positive
1597,courageously,Positive
1598,courteous,Positive
1599,courtesy,Positive
1600,courtly,Positive
1601,covenant,Positive
1602,covetous,Positive
1603,coward,Positive
1604,cowardly,Positive
1606,coy,Positive
1607,coyness,Positive
1608,cozy,Positive
1612,crabby,Positive
1616,cracked,Positive
1618,crackerjack,Positive
1620,cracks,Positive
1622,craft,Positive
1623,craftily,Positive
1624,craftilycrafty,Positive
1625,craftsman,Positive
1626,craftsmanship,Positive
1627,crafty,Positive
1628,cramp,Positive
1629,cramped,Positive
1630,cramping,Positive
1631,cranky,Positive
1636,craps,Positive
1638,crashed,Positive
1639,crashes,Positive
1640,crashing,Positive
1641,crass,Positive
1642,cratfy,Positive
1643,craven,Positive
1644,cravenly,Positive
1645,craze,Positive
1646,crazily,Positive
1647,craziness,Positive
1648,crazy,Positive
1649,creak,Positive
1650,creaking,Positive
